Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR
Snowi,1.14,190.3,1.06,0.75,122.8,0.69,0.49,0.06,0.05,28.0,15.0,199,187,142,16,15,0.647
Andersin,1.14,222.6,1.19,0.72,150.3,0.83,0.32,0.1,0.09,30.0,15.0,368,309,141,46,40,0.693
Anq,1.14,230.6,1.25,0.7,149.4,0.83,0.16,0.16,0.14,26.0,23.0,219,175,41,42,38,0.665
Dannyy,1.14,202.4,1.11,0.74,133.1,0.71,0.48,0.07,0.05,29.0,15.0,185,167,124,18,13,0.642
enerii,1.14,255.6,1.22,0.74,159.6,0.91,0.2,0.16,0.16,23.0,20.0,183,150,40,33,33,0.746
hieu,1.14,263.5,1.21,0.68,167.3,0.9,0.11,0.29,0.19,31.0,100.0,235,195,28,75,50,0.75
KovaQ,1.13,246.7,1.19,0.73,165.7,0.89,0.22,0.08,0.08,32.0,24.0,185,156,46,17,17,0.746
turkish,1.13,230.8,1.26,0.7,155.0,0.82,0.12,0.13,0.08,34.0,25.0,176,140,26,28,18,0.654
Julia,1.12,208.8,1.16,0.75,136.8,0.76,0.33,0.05,0.07,37.0,16.0,325,280,141,22,32,0.654
Xan,1.12,260.0,1.15,0.71,168.4,0.89,0.16,0.19,0.16,27.0,14.0,202,175,36,44,37,0.774
geeza,1.12,224.8,1.16,0.72,148.9,0.79,0.18,0.13,0.07,35.0,12.0,323,279,75,52,30,0.684
Pain,1.12,254.5,1.19,0.71,166.3,0.9,0.14,0.17,0.14,35.0,11.0,211,177,33,41,33,0.753
Laz,1.12,212.9,1.21,0.74,144.9,0.76,0.28,0.08,0.08,31.0,16.0,270,223,98,27,30,0.63
renz,1.12,211.9,1.23,0.73,144.4,0.8,0.28,0.06,0.06,25.0,18.0,259,210,91,20,21,0.648
Obnoks,1.12,230.3,1.22,0.68,153.0,0.83,0.12,0.12,0.08,25.0,10.0,233,191,33,33,22,0.682
Cunha20,1.12,206.5,1.21,0.75,132.4,0.76,0.39,0.06,0.05,45.0,13.0,207,171,107,16,14,0.624
Jayz,1.12,217.6,1.29,0.78,141.6,0.81,0.31,0.06,0.06,46.0,16.0,205,159,79,14,15,0.631
