Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR
Monyet,1.14,244.1,1.18,0.73,155.5,0.85,0.24,0.17,0.15,23.0,21.0,3150,2660,894,641,551,0.714
aNNja,1.13,234.7,1.19,0.73,153.3,0.84,0.27,0.11,0.1,28.0,13.0,2557,2156,827,346,298,0.707
nukkye,1.13,241.3,1.19,0.74,158.1,0.81,0.28,0.12,0.1,21.0,19.0,4385,3689,1537,651,559,0.68
Sato,1.13,248.9,1.27,0.71,161.8,0.9,0.13,0.16,0.14,32.0,18.0,1370,1082,204,250,212,0.707
Texta,1.13,214.8,1.13,0.73,130.4,0.75,0.34,0.09,0.09,19.0,19.0,2186,1927,977,272,265,0.662
JohnOlsen,1.13,244.1,1.21,0.72,155.9,0.86,0.2,0.16,0.13,27.0,15.0,5154,4242,1199,983,784,0.71
rawfiul,1.13,251.7,1.23,0.7,159.7,0.89,0.14,0.19,0.14,33.0,16.0,6008,4891,925,1265,923,0.722
Sayf,1.13,226.5,1.2,0.72,146.1,0.81,0.21,0.13,0.11,22.0,17.0,4371,3636,1125,720,550,0.674
YESicaN,1.13,212.4,1.13,0.77,137.5,0.74,0.37,0.08,0.07,26.0,18.0,3559,3150,1792,388,328,0.658
chloric,1.13,220.7,1.13,0.76,145.7,0.75,0.38,0.1,0.09,20.0,14.0,3628,3212,1813,490,425,0.666
