Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"smiley
Grif",324,1.11,194.9,1.02,77%,124.1,0.69,0.51,0.06,0.09,32%,20%,6/30,24,223,218,166,18,28
"Kyu
Grif",408,1.11,235.6,1.17,74%,155.8,0.84,0.32,0.10,0.10,31%,18%,8/45,33,342,293,131,40,39
"hannah
DSG",348,1.11,198.3,1.12,77%,131.8,0.69,0.30,0.09,0.06,25%,10%,5/49,23,239,214,103,30,21
"d4v41
PRX",241,1.11,198.5,1.18,73%,129.8,0.75,0.28,0.08,0.05,35%,23%,7/30,24,180,153,67,20,12
"Fragger
SAW",274,1.11,221.3,1.12,73%,148.5,0.77,0.32,0.09,0.05,30%,14%,3/21,28,210,187,89,25,15
"Cohburg
SaD",428,1.10,215.1,1.16,76%,142.5,0.76,0.29,0.09,0.08,27%,24%,12/50,24,326,281,125,37,35
"f1cio
VIC",204,1.10,235.9,1.13,70%,157.2,0.83,0.25,0.11,0.09,30%,10%,3/30,40,170,150,52,23,18
"Dark3st
SaD",893,1.10,208.7,1.09,75%,136.5,0.73,0.48,0.09,0.08,26%,17%,14/82,26,654,599,426,80,75
"TenZ
SEN",236,1.10,215.9,1.09,76%,145.7,0.78,0.49,0.12,0.13,27%,11%,2/19,32,183,168,115,28,31
"benjii
Feel",664,1.10,189.3,1.18,74%,130.7,0.71,0.23,0.08,0.06,22%,25%,21/84,30,472,399,155,50,43
"aNguiSt
GMX",412,1.10,208.8,1.22,69%,140.5,0.78,0.12,0.08,0.06,36%,11%,7/65,26,322,264,50,35,23
"LewN
PCF",335,1.09,237.0,1.19,72%,154.4,0.84,0.14,0.15,0.14,34%,28%,9/32,25,280,236,47,51,46
"socools0da
THA",354,1.09,201.1,1.08,77%,132.2,0.73,0.36,0.10,0.09,36%,20%,7/35,27,259,240,126,35,33
